Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,BB_Middle,BB_Upper,BB_Lower
2022-01-03,30.06276512145996,30.651624582903967,29.727414293582168,29.75735697767053,391547000,,0.0,0.0,,,
2022-01-04,29.233375549316406,30.409097659269086,28.294194767957748,30.2184669283259,527154000,,-0.06616213111116664,-0.01323242622223333,,,
2022-01-05,27.550630569458008,29.359127526177748,27.479768693565187,28.893029463658266,498064000,,-0.2514806409891186,-0.06088206917561039,,,
2022-01-06,28.123523712158203,28.383021289445175,27.012676481336786,27.586563706783856,454186000,,-0.34810645197736534,-0.11832694573596139,,,
2022-01-07,27.194326400756836,28.36705605710548,27.00469317182625,28.08659914346598,409939000,,-0.4939674119007158,-0.1934550389689123,,,
2022-01-10,27.34702491760254,27.415891757825346,25.594419420833177,26.52960811483407,594681000,,-0.5904356052330257,-0.272851152221735,,,
2022-01-11,27.763219833374023,28.010741462593767,26.787111899859354,27.27017541907624,404089000,,-0.6260867536770469,-0.3434982725127974,,,
2022-01-12,27.944866180419922,28.53971261700627,27.554621408963357,28.012733594807443,383413000,,-0.6323933664693868,-0.40127729130411527,,,
2022-01-13,26.523622512817383,28.424938300544927,26.44676981062193,28.324133734411912,540171000,,-0.7435032460844475,-0.46972248226018176,,,
2022-01-14,26.889909744262695,27.144417793034062,26.15932464358932,26.249150789783805,395832000,,-0.792862680356059,-0.5343505218793572,,,
2022-01-18,25.852920532226562,26.586500135365398,25.720178245364497,26.209230679570027,424270000,,-0.9052219157984567,-0.6085248006631772,,,
2022-01-19,25.01854133605957,26.491687849182274,25.003570942379152,26.028586030738563,488315000,,-1.0494969003458685,-0.6967192205997155,,,
2022-01-20,24.103309631347656,25.529547751569282,24.031448328745114,25.25507979883061,435181000,,-1.2235827148219052,-0.8020919194441535,,,
2022-01-21,23.32880973815918,24.775007677466373,23.218024282355426,23.461552019986037,718958000,14.809370040138276,-1.4078142394113584,-0.9232363834375945,,,
2022-01-24,23.32681655883789,23.33480051437703,20.84761941977209,22.28683115524329,913982000,14.804635269548996,-1.5362707104240414,-1.0458432488348839,,,
2022-01-25,22.280841827392578,22.898646539669308,21.957468790063057,22.502412770653898,664616000,12.539023128474824,-1.7028454658863197,-1.1772436922451712,,,
2022-01-26,22.727975845336914,24.010491492410896,22.25688820809312,23.19507150485748,755959000,18.29523088707991,-1.7782782960462633,-1.2974506130053896,,,
2022-01-27,21.901575088500977,23.948610407504805,21.633094151119476,23.52243589687238,573353000,16.17620416349051,-1.8830365191266232,-1.4145677942296362,,,
2022-01-28,22.79584312438965,22.81380797435671,21.25482754600818,21.96944289295478,543774000,26.144947921537565,-1.8723153233024306,-1.506117300044195,,,
2022-01-31,24.438661575317383,24.46161782547409,23.00743389482427,23.137181729796545,564680000,40.211753191750624,-1.7115275547245403,-1.5471993509802642,25.720427989959717,30.670985561595415,20.769870418324018
2022-02-01,24.590364456176758,25.09638417294611,23.84380957085844,25.05546307837745,518925000,41.32315465229211,-1.5539479899328583,-1.5485490787707832,25.446807956695558,29.97361442152467,20.920001491866447
2022-02-02,25.19319725036621,25.767084393020323,24.505528293848347,25.74413004951072,543419000,45.64696530130362,-1.364690182198533,-1.5117772994563334,25.244799041748045,29.405946704292006,21.083651379204085
2022-02-03,23.901702880859375,25.02851997099475,23.734028395076432,24.41071716026495,410178000,39.01409144269118,-1.3038844400061045,-1.4701987275662878,25.062352657318115,29.116415635030673,21.008289679605557
